clean_tweet,emotion,label
time ticking fast relive past happy joy face,happy,3
happy birthday one hot love much amazing friend although met year like known forever really wish difficult year appreciate,happy,3
best cheer left min cant save happy like treasure long time happy,happy,3
good morning wishing day filled sunshine happiness love pleasant lovely day shining keep smiling always stay happy,happy,3
eric movie made happy several way think rely stuff purely coincidence solve story especially big entire film problematic,happy,3
sandal give two met gala want twitter page seen enough could lived long happy life never seeing harry weird night gown ensemble whatever camp,happy,3
beautiful bride fixed dress aisle happy moment caught film,happy,3
someone great one best chick romance hit reality matter great sometimes south move happy happy beautiful,happy,3
petit prince always beautiful always feel deep love towards always feel warm happy see fan site support,happy,3
happy enjoy make good memorable,happy,3
happy birthday honor celebrate best,happy,3
want happy felt lonely went tough depressing think time something would make happy,happy,3
happy birthday honor celebrate best,happy,3
middle happy sigh little memory someone,happy,3
think important remember see,happy,3
good good environment happy hospital people tend intense serious,happy,3
hear sing night remain one moving,happy,3
somewhere middle happy sigh little memory someone missing,happy,3
hear sing night remain one moving,happy,3
cherish happy make fine cushion old age booth special day today,happy,3
person special day bring endless joy,happy,3
meta happy capture pro mate via,happy,3
best life tell anyone,happy,3
life setup make believe happy last,happy,3
nick happy happy really want feeling family see happy good make special love little sun,happy,3
somewhere middle happy sigh little memory someone missing,happy,3
laura glad spending time happy like,happy,3
middle happy sigh little memory someone,happy,3
wonderful moment time happy journey know good cherish thank,happy,3
happy birthday boy tequila enjoy day video nag,happy,3
sheep clothing happy birthday two close heart kayo looking forward bonding love god bless,happy,3
middle happy sigh little memory someone,happy,3
absolutely positive true friendship long youve known someone lot girl short time funny happy sad forever treasure time well soon,happy,3
saw may thank showing life happy thank giving reason smile give thank reason dear,happy,3
happy para kay para tao way point naa god please,happy,3
happy praise worship trust importantly thank god,happy,3
need pray baby going cute announcement right happy,happy,3
hear sing night remain one moving,happy,3
fan people excited happy news make care sad news please ruin happy politics time,happy,3
think happy sad kay sad self ana situation life beautiful dont let thing ruined,happy,3
kelly hear sing night remain one moving,happy,3
flores happy first weekend may celebrate weekend listen weekend long,happy,3
happy life say collection celebration good time thank celebrate,happy,3
tan best happy love,happy,3
happy life say collection celebration good time thank celebrate,happy,3
princess amidst cheap also highly intellectual said best across moment count cheap grieve happy good cling good,happy,3
feeling happy blessed small lot lately still feel anxious every day,happy,3
seeing one happiest life heart sent crowd sweet speech happy exist life create euphoric life without happiness exist love really,happy,3
clear scene one cinematic ever could literally watch loop happy,happy,3
seeing iconic short period time getting lot,happy,3
love happy thank honey precious,happy,3
self lover happy love party,happy,3
lone star aviation photography sir hero little final gave reason smile believe life everything going happy angel someone would meet person someday,happy,3
make many happy come way baby,happy,3
time ticking fast relive past happy joy face,happy,3
morgenstern thank everyone specially turned world upside like always follow made really happy truly saved thank,happy,3
understand pain trust seen people,happy,3
happy like everything want,happy,3
hale hear sing night remain one moving,happy,3
wrapped top android across,happy,3
drill spicy chicken coming back crazy took like day half,happy,3
get straight love stupid amazing talent music get,happy,3
amazing first save opportunity might smart limit two day back back use third,happy,3
alison one case confederate bad infinitely,happy,3
dag best translator ever shout amazing making deaf feel included,happy,3
boy ser based experience say migraine aura way,happy,3
know many going read put universe,happy,3
open source spirit change world use teach,happy,3
talented brilliant incredible amazing spectacular totally unique,happy,3
running susi beat everyone amazing dress red carpet change outfit four time,happy,3
maria baby looking amazing,happy,3
worth stay along legend massive impetus,happy,3
fashion met gala amazing,happy,3
dub amazing interview thank question thank joe excited receive infinity hear,happy,3
honor amazing show support mike profile,happy,3
map news concert many south,happy,3
amazing see wearing previously worn,happy,3
real quick concert magical truly amazing seriously hard work,happy,3
amazing stream thank host raid happy could pay forward people keep around happier journey everyone,happy,3
small thing fun really amazing prepare hanky case,happy,3
took night king guy would amazing pair fight,happy,3
check tonight twitch mental health legit time talk someone,happy,3
ill miss amazing quote sum opportunity get,happy,3
getting home game amazing deserve,happy,3
sumner story air one emotional ever given glad theyll,happy,3
little looking amazing far,happy,3
happy birthday lot success amazing year love movie,happy,3
creativity hack pipeline great event made great amazing thank,happy,3
erika amazing see wearing previously worn,happy,3
also get excited every time hear song radio public place amazing enjoy,happy,3
thank wonderful show amazing frist day last day magic beauty,happy,3
conservative patriot amazing child,happy,3
awa thank amazing job stop staring,happy,3
